timestamp,page_id,qa_id,question,answer,rejection_reason,filter_name
2026-02-11T00:30:39.594037Z,-003,-003-q01,What component is being removed according to the text on this page?,"Roll pins are being removed, specifically the 2nd 3rd hub roll pin.",self_referential: on this page,self_referential
2026-02-11T00:30:39.594037Z,-010,-010-q01,What type of bearing is being installed in this image?,A new genuine bearing is being installed.,self_referential: in this image,self_referential
2026-02-11T00:30:39.594037Z,-010,-010-q07,What type of bearing construction is shown in this image?,This appears to be a ball bearing with multiple steel balls contained between inner and outer races.,self_referential: in this image,self_referential
2026-02-11T00:30:39.594037Z,-011,-011-q01,What component is being shown in the press setup in this image?,A differential gear assembly with its housing and gear mechanism is being shown in the hydraulic press setup.,self_referential: in this image,self_referential
2026-02-11T00:30:39.594037Z,-018,-018-q04,What cleaning procedure is being demonstrated in this image?,The image demonstrates the cleaning of an engine component using a wire brush to remove deposits and debris from the casting surfaces.,self_referential: in this image,self_referential
2026-02-11T00:30:39.594037Z,-024,-024-q01,What is the bearing part number shown in the circular bearing component?,1 09 0070,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,-024,-024-q02,What country is marked on the bearing component?,GERMANY,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,-024,-024-q10,What is the complete bearing identification number visible in the center of the component?,1 09 0070,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-00-intro-02_maintena,00-00-intro-02_maintena-q05,What should be used between the lifting arm and vehicle frame at the rear?,"Apply rubber block of lifting arm on the rear perpendicular reinforcement of the frame member, which is also provided for application of the car's jack.",question_similarity: 0.86 with 00-00-intro-02_maintena-q04,question_diversity
2026-02-11T00:30:39.594037Z,00-00-intro-03_maintena,00-00-intro-03_maintena-q10,What components are shown in the rear towing eyes diagram?,"The diagram shows the rear towing eyes location on the vehicle, with arrows indicating the rear towing points.",question_similarity: 0.82 with 00-00-intro-03_maintena-q09,question_diversity
2026-02-11T00:30:39.594037Z,00-03_maintena,00-03_maintena-q03,What is the group number associated with the radio inspection procedures?,Gr. 65,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-03_maintena,00-03_maintena-q05,What is the group number for the windshield washing system service?,Gr. 00,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-03_torque-s,00-03_torque-s-q01,What is the maximum tightening torque for an M6 8.8 screw?,9.9 Nm,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-03_torque-s,00-03_torque-s-q02,What torque specification should I use for an M6 10.9 bolt?,14.0 Nm,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-03_torque-s,00-03_torque-s-q03,What is the tightening torque for M6 12.9 fasteners?,16.5 Nm,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-03_torque-s,00-03_torque-s-q04,What torque value is specified for M7 8.8 screws?,14.8 Nm,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-03_torque-s,00-03_torque-s-q05,What is the maximum tightening torque for an M7 10.9 bolt?,21.3 Nm,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-03_torque-s,00-03_torque-s-q06,What torque specification applies to M7 12.9 fasteners?,25.5 Nm,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-13_maintena,00-13_maintena-q07,What is the order number for the Service Indicator adapter?,The adapter order number is 62 1 140.,question_similarity: 0.80 with 00-13_maintena-q06,question_diversity
2026-02-11T00:30:39.594037Z,00-14_maintena,00-14_maintena-q03,What group reference is used for replacing spark plugs?,Gr. 12,answer_too_short,answer_length
2026-02-11T00:30:39.594037Z,00-14_maintena,00-14_maintena-q04,Which group reference covers air cleaner and air filter cartridge replacement?,Gr. 13,answer_too_short,answer_length
